Cluster,Treatment,Site,Camera,Lzeq,Laeq,Lux,Lat,Long,Elevation
Blue,Control,CP01,1,61.1,38.9,0,36.885132,-107.628847,1972.670776
Blue,Control,CP01,2,63.1,37.8,0,36.885396,-107.628828,1972.98999
Blue,Control,CP01,3,60.2,40.1,0,36.884543,-107.628292,1964.767822
Blue,Control,CP01,4,63.9,40.6,0,36.884304,-107.628323,1963.27771
Blue,Control,CP01,5,59.6,38.2,0,36.883961,-107.629334,1963.234375
Blue,Control,CP01,6,59,48.5,0,36.884006,-107.629642,1963.142822
Blue,Control,CP01,7,60.7,36.2,0,36.884577,-107.630549,1965.498413
Blue,Control,CP01,8,59.5,42.2,0,36.884917,-107.630644,1965.500122
Blue,Control,CP01,9,60.4,37.6,0,36.885485,-107.630477,1969.807007
Blue,Control,CP01,10,61.2,39.1,0,36.885658,-107.63064,1970.905762
Blue,Light,CP02,1,72.5,37.6,0.45,36.874392,-107.650722,1924.177246
Blue,Light,CP02,2,72.4,36.5,0.14,36.874529,-107.650626,1922.332642
Blue,Light,CP02,3,74.7,50.3,0.18,36.873864,-107.651754,1927.307373
Blue,Light,CP02,4,73.3,37.8,0,36.873636,-107.651794,1917.757568
Blue,Light,CP02,5,71.8,42.3,0.12,36.872047,-107.650837,1912.654663
Blue,Light,CP02,6,74.6,42.5,0.03,36.872176,-107.650978,1910.156006
Blue,Light,CP02,7,80.3,44,0.41,36.8722,-107.649764,1908.306885
Blue,Light,CP02,8,62.4,39.7,0,36.872215,-107.650041,1912.786011
Blue,Light,CP02,9,65.2,44.5,0,36.872913,-107.64955,1913.026123
Blue,Light,CP02,10,67.4,42.3,0.21,36.873116,-107.649631,1914.575439
Blue,Noise,PT13,1,67.9,51.5,0,36.894939,-107.615749,1991.038208
Blue,Noise,PT13,2,63.5,47.5,0,36.89499,-107.616009,1994.944946
Blue,Noise,PT13,3,66.1,49.9,0,36.89512,-107.614508,1982.469849
Blue,Noise,PT13,4,64.9,49.2,0,36.895261,-107.614259,1983.419312
Blue,Noise,PT13,5,67.4,45.6,0,36.893808,-107.613491,1968.188843
Blue,Noise,PT13,6,66.6,46.4,0,36.893615,-107.613558,1974.77771
Blue,Noise,PT13,7,71.9,55.4,0,36.893613,-107.613583,
Blue,Noise,PT13,8,73,57.2,0,36.893516,-107.614514,
Blue,Noise,PT13,9,72.6,56.7,0,36.893543,-107.614798,
Blue,Noise,PT13,10,71,54.7,0,36.893653,-107.615534,
Blue,Combined,TP02,1,65.3,46.8,0,36.864738,-107.649328,1901.289429
Blue,Combined,TP02,2,66.8,49.9,0.1,36.864557,-107.649417,1903.849976
Blue,Combined,TP02,3,70.8,40.4,0.8,36.864895,-107.647454,1894.578003
Blue,Combined,TP02,4,78.8,44.9,0,36.86497,-107.647627,1898.693726
Blue,Combined,TP02,5,69.5,46.5,0.67,36.863232,-107.64862,1915.054932
Blue,Combined,TP02,6,69,54.8,0.02,36.863328,-107.648435,1910.599243
Blue,Combined,TP02,7,67.5,42.1,0.06,36.862578,-107.649958,1910.536987
Blue,Combined,TP02,8,67.5,42.6,0.03,36.862514,-107.65013,1914.259888
Blue,Combined,TP02,9,63.7,43.3,0,36.864505,-107.651074,1897.855347
Blue,Combined,TP02,10,64.3,45.3,0.15,36.864443,-107.650767,1898.742432
Red,Control,CP08,1,67.4,46.1,0,36.987999,-107.655938,2121.321289
Red,Control,CP08,2,69,48.6,0,36.987952,-107.656084,2121.768799
Red,Control,CP08,3,65.6,44.3,0,36.988435,-107.657437,2116.008057
Red,Control,CP08,4,65.6,39.9,0,36.988487,-107.657251,2113.92749
Red,Control,CP08,5,67.7,41.4,0,36.989053,-107.65713,2119.404785
Red,Control,CP08,6,65.8,42,0,36.989188,-107.657307,2124.029785
Red,Control,CP08,7,64.8,40.2,0,36.989807,-107.656076,2128.015625
Red,Control,CP08,8,68,41.7,0,36.989832,-107.655832,2126.453125
Red,Control,CP08,9,65.1,44.6,0,36.98864,-107.655494,2122.271973
Red,Control,CP08,10,67.9,41.3,0,36.988491,-107.655288,2126.914062
Red,Combined,PT14,1,70.7,55.8,0,36.963828,-107.677615,2095.911621
Red,Combined,PT14,2,69.2,53,0,36.963854,-107.677952,2097.099121
Red,Combined,PT14,3,64.7,55.6,0.21,36.963777,-107.676806,2094.884277
Red,Combined,PT14,4,62.1,44.8,0.24,36.963619,-107.676743,2090.66333
Red,Combined,PT14,5,68.5,50.1,0.03,36.964248,-107.676232,2095.028564
Red,Combined,PT14,6,68.3,50.6,0.22,36.964463,-107.676144,2098.027588
Red,Combined,PT14,7,67.1,51,0,36.964901,-107.677331,2095.967773
Red,Combined,PT14,8,72.8,55.9,0.02,36.964808,-107.677598,2100.176514
