Camera,JDay,Peromyscus,Chipmunk,Neotoma,Cottontail,Rock Squirrel,Grey fox,Elk,Jackrabbit,Deer,Bat,rich,Cluster,Treatment,Lzeq,Laeq,Lux,Lat,Long,Elevation,Landcover,M_Illum,PMU,mIndex
CP01_1,148.5,16,0,0,0,0,0,0,0,0,0,1,Blue,Control,61.1,38.9,0,36.885132,-107.628847,1972.670776,Shrubland,0.285399919,0.284109808,0.081084916
CP01_10,148.5,1,0,0,0,0,0,0,0,0,0,1,Blue,Control,61.2,39.1,0,36.885658,-107.63064,1970.905762,Shrubland,0.285399919,0.284109808,0.081084916
CP01_2,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Control,63.1,37.8,0,36.885396,-107.628828,1972.98999,Shrubland,0.285399919,0.284109808,0.081084916
CP01_4,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Control,63.9,40.6,0,36.884304,-107.628323,1963.27771,Shrubland,0.285399919,0.284109808,0.081084916
CP01_5,148.5,25,0,0,0,0,0,0,0,0,0,1,Blue,Control,59.6,38.2,0,36.883961,-107.629334,1963.234375,Shrubland,0.285399919,0.284109808,0.081084916
CP01_6,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Control,59,48.5,0,36.884006,-107.629642,1963.142822,Shrubland,0.285399919,0.284109808,0.081084916
CP01_7,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Control,60.7,36.2,0,36.884577,-107.630549,1965.498413,Shrubland,0.285399919,0.284109808,0.081084916
CP01_8,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Control,59.5,42.2,0,36.884917,-107.630644,1965.500122,Shrubland,0.285399919,0.284109808,0.081084916
CP01_9,148.5,13,0,0,0,0,0,0,0,0,0,1,Blue,Control,60.4,37.6,0,36.885485,-107.630477,1969.807007,Shrubland,0.285399919,0.284109808,0.081084916
CP02_1,148.5,47,0,0,0,0,0,0,0,0,0,1,Blue,Light,72.5,37.6,0.45,36.874392,-107.650722,1924.177246,Shrubland,0.285399919,0.284109808,0.081084916
CP02_10,148.5,24,0,0,0,0,0,0,0,0,0,1,Blue,Light,67.4,42.3,0.21,36.873116,-107.649631,1914.575439,Shrubland,0.285399919,0.284109808,0.081084916
CP02_2,148.5,3,0,0,0,0,0,0,0,0,0,1,Blue,Light,72.4,36.5,0.14,36.874529,-107.650626,1922.332642,Shrubland,0.285399919,0.284109808,0.081084916
CP02_3,148.5,225,191,54,0,0,0,0,0,0,0,3,Blue,Light,74.7,50.3,0.18,36.873864,-107.651754,1927.307373,Shrubland,0.285399919,0.284109808,0.081084916
CP02_4,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Light,73.3,37.8,0,36.873636,-107.651794,1917.757568,Shrubland,0.285399919,0.284109808,0.081084916
CP02_5,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Light,71.8,42.3,0.12,36.872047,-107.650837,1912.654663,Shrubland,0.285399919,0.284109808,0.081084916
CP02_6,148.5,2,0,0,0,0,0,0,0,0,0,1,Blue,Light,74.6,42.5,0.03,36.872176,-107.650978,1910.156006,Shrubland,0.285399919,0.284109808,0.081084916
CP02_7,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Light,80.3,44,0.41,36.8722,-107.649764,1908.306885,Shrubland,0.285399919,0.284109808,0.081084916
CP02_8,148.5,0,0,0,0,0,0,0,0,0,0,0,Blue,Light,62.4,39.7,0,36.872215,-107.650041,1912.786011,Shrubland,0.285399919,0.284109808,0.081084916
CP02_9,148.5,2,0,0,2,68,0,0,0,0,0,3,Blue,Light,65.2,44.5,0,36.872913,-107.64955,1913.026123,Shrubland,0.285399919,0.284109808,0.081084916
CP04_1,162.5,10,0,0,0,0,0,0,0,0,0,1,Orange,Light,64.1,60.3,0.15,36.90993,-107.71288,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP04_10,162.5,33,0,0,0,0,0,0,0,0,0,1,Orange,Light,62.3,45.8,0.14,36.91102,-107.71326,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP04_2,162.5,17,0,0,1,0,0,0,0,0,0,2,Orange,Light,61.3,45.2,0.02,36.90977,-107.71288,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP04_3,163.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Light,61,42.6,0.47,36.90879,-107.71339,NA,Woodland,0.741543851,0.780081007,0.578464273
CP04_4,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Light,64,42.2,0,36.90855,-107.71329,NA,Woodland,0.641078707,0.716717305,0.459472203
CP04_5,162.5,5,0,0,0,0,0,0,0,0,0,1,Orange,Light,61.4,41.1,0.2,36.90945,-107.71441,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP04_6,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Light,59.7,40.1,0.17,36.90965,-107.71444,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP04_7,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Light,62.7,37.9,0.18,36.91071,-107.71546,NA,Woodland,0.641078707,0.716717305,0.459472203
CP04_8,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Light,60.9,38,0.01,36.91059,-107.71535,NA,Woodland,0.641078707,0.716717305,0.459472203
CP04_9,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Light,60.3,39.8,1.05,36.91089,-107.71325,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP05_1,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Control,67.6,62.1,0,36.91729196,-107.660795,2041.826904,Woodland,0.64073945,0.507767594,0.325346729
CP05_10,174.5,1,0,0,2,0,0,0,0,0,0,2,Green,Control,65.6,51.9,0,36.91595396,-107.661341,2054.215332,Woodland,0.64073945,0.507767594,0.325346729
CP05_2,174.5,2,0,0,0,0,0,0,0,0,0,1,Green,Control,68.9,65.3,0,36.91740797,-107.661101,2046.531738,Woodland,0.64073945,0.507767594,0.325346729
CP05_3,174.5,28,0,0,0,0,0,0,0,0,0,1,Green,Control,64.8,47.1,0,36.91723396,-107.659448,2045.281006,Woodland,0.64073945,0.507767594,0.325346729
CP05_4,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Control,65.2,50.9,0,36.91714796,-107.659181,2047.711548,Woodland,0.64073945,0.507767594,0.325346729
CP05_5,174.5,10,17,0,0,0,0,0,0,0,0,2,Green,Control,67.5,51.1,0,36.91628999,-107.658992,2063.543213,Woodland,0.64073945,0.507767594,0.325346729
CP05_6,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Control,66.7,53.5,0,36.91610903,-107.659022,2064.029053,Woodland,0.64073945,0.507767594,0.325346729
CP05_7,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Control,66.2,41.3,0,36.91544602,-107.659979,2059.289551,Woodland,0.64073945,0.507767594,0.325346729
CP05_8,174.5,0,0,0,0,0,0,0,0,0,1,1,Green,Control,66.6,58.1,0,36.91524502,-107.659969,2056.979736,Woodland,0.64073945,0.507767594,0.325346729
CP05_9,174.5,0,0,0,13,0,0,0,0,0,0,1,Green,Control,68,50,0,36.916147,-107.661171,2049.984863,Woodland,0.64073945,0.507767594,0.325346729
CP06_1,162.5,1,0,0,0,0,0,0,0,0,0,1,Orange,Control,66.4,42.9,0,36.90484,-107.68121,NA,Woodland,0.641078707,0.716717305,0.459472203
CP06_10,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Control,63.5,45.3,0,36.90597,-107.68152,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP06_2,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Control,67.7,42.8,0,36.90483,-107.68142,NA,Woodland,0.641078707,0.716717305,0.459472203
CP06_3,163.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Control,74.8,37.6,0,36.90486,-107.67967,NA,Shrubland,0.741543851,0.780081007,0.578464273
CP06_4,162.5,22,0,0,0,0,0,0,0,0,0,1,Orange,Control,74.5,38.2,0,36.90456,-107.67962,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP06_5,162.5,1,0,0,0,0,0,0,0,0,0,1,Orange,Control,78,36.5,0,36.90588,-107.67921,NA,Woodland,0.641078707,0.716717305,0.459472203
CP06_6,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Control,74.6,36.5,0,36.90602,-107.67905,NA,Woodland,0.641078707,0.716717305,0.459472203
CP06_7,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Control,78.4,47.2,0,36.90606,-107.68031,NA,Woodland,0.641078707,0.716717305,0.459472203
CP06_8,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Control,63.4,39.4,0,36.90675,-107.68057,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP06_9,162.5,1,0,0,0,0,0,0,0,0,0,1,Orange,Control,74.3,40.3,0,36.90561,-107.68134,NA,Shrubland,0.641078707,0.716717305,0.459472203
CP08_1,153.5,34,0,0,0,0,0,0,0,0,0,1,Red,Control,67.4,46.1,0,36.987999,-107.655938,2121.321289,Woodland,0.014635002,0.087552851,0.001281336
CP08_10,153.5,13,0,0,0,0,0,0,0,0,0,1,Red,Control,67.9,41.3,0,36.988491,-107.655288,2126.914062,Woodland,0.014635002,0.087552851,0.001281336
CP08_2,153.5,126,0,0,0,0,0,0,0,0,0,1,Red,Control,69,48.6,0,36.987952,-107.656084,2121.768799,Woodland,0.014635002,0.087552851,0.001281336
CP08_3,153.5,65,0,0,0,0,0,0,0,0,0,1,Red,Control,65.6,44.3,0,36.988435,-107.657437,2116.008057,Woodland,0.014635002,0.087552851,0.001281336
CP08_4,153.5,1,0,0,0,0,0,0,0,0,0,1,Red,Control,65.6,39.9,0,36.988487,-107.657251,2113.92749,Shrubland,0.014635002,0.087552851,0.001281336
CP08_5,153.5,47,0,0,0,0,0,0,0,0,0,1,Red,Control,67.7,41.4,0,36.989053,-107.65713,2119.404785,Woodland,0.014635002,0.087552851,0.001281336
CP08_6,153.5,65,0,0,0,0,0,12,0,0,0,2,Red,Control,65.8,42,0,36.989188,-107.657307,2124.029785,Woodland,0.014635002,0.087552851,0.001281336
CP08_7,153.5,67,0,0,0,0,0,0,0,0,0,1,Red,Control,64.8,40.2,0,36.989807,-107.656076,2128.015625,Woodland,0.014635002,0.087552851,0.001281336
CP08_8,153.5,0,0,0,1,0,0,0,0,0,0,1,Red,Control,68,41.7,0,36.989832,-107.655832,2126.453125,Woodland,0.014635002,0.087552851,0.001281336
CP10_1,158.5,8,0,0,2,0,0,0,0,0,0,2,Pink,Control,67.4,41.1,0,36.96761699,-107.709903,2072.937744,Woodland,0.243295588,0.48238974,0.117363295
CP10_10,158.5,16,0,0,0,0,0,0,0,0,0,1,Pink,Control,67.1,39.8,0,36.99618302,-107.709129,2015.406006,Shrubland,0.243295588,0.48238974,0.117363295
CP10_2,158.5,4,0,0,0,0,0,0,0,0,0,1,Pink,Control,67.2,37.2,0,36.96792503,-107.709837,2071.87085,Woodland,0.243295588,0.48238974,0.117363295
CP10_3,158.5,65,0,0,0,0,0,0,0,0,0,1,Pink,Control,66.5,40.2,0,36.96845502,-107.709448,2073.794922,Woodland,0.243295588,0.48238974,0.117363295
